Slug,Name,Operator,Host,Host Type,Address,City,State,Latitude,Longitude,Coordinate Precision,Stalls,Hardware,Power kW,Status,Verification Status,Evidence Grade,Class,First Confirmed,Opened On,Milestone,Summary,Source URL,Unstated,Notes,Publish
victron-midlothian-tx,"Texas Best Smokehouse, Midlothian",Victron Energy,Texas Best Smokehouse,Travel center,,Midlothian,TX,32.47574,-96.99355,Area-Only,8,V4,325,Operational,Verified,A (primary source),SfB,2026-07-28,2026-07-23,Appears to be Victron Energy's first Supercharger for Business site,"Eight V4 stalls up to 325 kW, one accessible, at a Texas Best Smokehouse travel center just off US-287.",https://evwire.com/p/victron-energy-midlothian-tesla-supercharger-launch-details,address,"The first-site claim is hedged in the article as ""appears to be"". Victron Energy here is the travel-center operator behind Texas Best Smokehouse, not the Dutch power-electronics company of the same name.",true
ac-customs-belleville-ks,AC Customs Supercharger,AC Customs,AC Customs,Business,"1212 17th St, Belleville, KS 66935",Belleville,KS,39.82405,-97.62902,Area-Only,4,V3,250,Operational,Verified,A (primary source),SfB,2026-04-06,,A rare V3 site on the programme,"Four V3 stalls up to 250 kW, 24/7, at $0.43/kWh for Tesla and non-Tesla alike. AC Customs said these were some of Tesla's last V3 units, discounted to clear stock.",https://evwire.com/p/tesla-supercharger-for-business-rare-v3-site-belleville-kansas,opened_on,,true
genoa-nv,Genoa Golf Club,Genoa Golf Club,Genoa Golf Club,Golf club,,Genoa,NV,39.00444,-119.84611,Area-Only,8,V4,,Operational,Verified,B (strong secondary),SfB,2026-04-29,2026-05-08,One of the first privately owned Tesla Supercharger sites in the western US,"Eight V4 stalls developed with Tesla Energy and Trout Electric, with a public ribbon-cutting on 8 May 2026. A later article describes the site as eight V4 Superchargers plus six Level 2 chargers.",https://evwire.com/p/tesla-supercharger-for-business-debuts-genoa-nv-details,"address, power_kw","Naming is inconsistent across sources: the April article says Genoa Golf Club, its own SEO field says Genoa Ranch Golf Course, and the August United Chargers Network piece says Genoa Lakes Golf Course. Kept the April body's name. The UCN article does not explicitly state that UCN owns this site, so operator stays as the club.",true
hion-greenwood-village-co,"HiON, Denver Tech Center",HiON EV Charging,,,,Greenwood Village,CO,39.624,-104.8635,Area-Only,4,V4,325,Operational,Verified,A (primary source),SfB,2026-07-13,,,"Four V4 stalls up to 325 kW, NACS and CCS, open 24/7, in the Denver Tech Center. HiON calls its stalls the world's first supercharging franchise on the Tesla network.",https://evwire.com/p/hion-tesla-v4-supercharger-greenwood-village-denver-tech-center,"site name, address, opened_on",Greenwood Village is absent from the city-centroid dataset. Coordinates here are the mean of ZIP 80111 and 80112 centroids (the two core Greenwood Village / Denver Tech Center ZIPs) from midwire/free_zipcode_data. Lower confidence than the other pins.,true
little-general-columbia-mo,"Little General travel center, Columbia",Little General,Little General,Travel center,,Columbia,MO,38.93818,-92.30487,Area-Only,4,V4,325,Operational,Verified,A (primary source),SfB,2026-07-13,,,Four V4 stalls up to 325 kW with Magic Docks at Little General's new travel center just off Interstate 70.,https://evwire.com/p/little-general-opens-tesla-supercharger-columbia-mo-travel-center,"address, opened_on",,true
ppr-grand-island-ny,Grand Island Blvd Supercharger,PPR Energy Solutions,Larry Playfair,Private host,"1738 Grand Island Blvd, Grand Island, NY",Grand Island,NY,43.01827,-78.95906,Area-Only,4,V4,,Operational,Verified,A (primary source),SfB,2026-07-13,2026-08-07,,"Four V4 stalls with NACS, CCS and an ADA-accessible stall, off the Grand Island Bridge between Buffalo and Niagara Falls. Ribbon-cutting held 7 August 2026.",https://evwire.com/p/ppr-energy-solutions-tesla-v4-supercharger-grand-island-ny,power_kw,The site was under construction when first published on 13 July and the post was updated on 7 August with the ribbon-cutting.,true
island-center-isle-of-palms-sc,"Island Center, Isle of Palms",Island Center (site host),Island Center shopping center,Shopping center,"1507 Palm Boulevard, Isle of Palms, SC",Isle of Palms,SC,32.79425,-79.77295,Area-Only,4,V4,325,Operational,Verified,A (primary source),SfB,2026-08-04,,South Carolina's first Supercharger for Business site,"Four V4 Magic Dock stalls up to 325 kW, designed and built by Dominion Energy South Carolina under its turnkey programme for a site host who paid the full cost.",https://evwire.com/p/south-carolina-first-tesla-supercharger-for-business-isle-of-palms,"opened_on, host legal name","Dominion's logo is on the cabinets because Dominion built the station, but Dominion says the site host paid the full cost. Dominion is the delivery partner, not the owner. The host entity is never named beyond the venue.",true
evio-new-york,"EVIO Charging, New York",EVIO Charging,,,,,NY,,,None,8,,,Operational,To Verify,B (strong secondary),SfB,2026-05-06,2026-05-20,"First privately owned Tesla Supercharger site in New York, described by the installer as the first in the Northeast","Powerup EV Solutions completed an eight-stall Tesla Supercharger turnkey for EVIO Charging, with a ribbon-cutting scheduled for 20 May 2026.",https://evwire.com/p/evio-charging-first-privately-owned-tesla-supercharger-new-york,"city, address, hardware, power_kw","The article never names a city, only the state and ""the Northeast"", so this record has no coordinates and is deliberately excluded from the map. It appears in the site list with a location-unknown flag. Stall count comes from an image caption.",true
gorham-nh,Gorham Citgo,Summer Fun Inc.,Citgo gas station,Fuel station,,Gorham,NH,44.3996,-71.17998,Area-Only,4,V3.5 cabinet,,At risk,Verified,A (primary source),SfB,2026-08-11,,,"Four-stall site whose owner says it will close on 25 October unless New Hampshire restores the discontinued EV-2 electricity rate. Demand charges reported above $9,000 a month.",https://evwire.com/p/privately-owned-tesla-supercharger-new-hampshire-closing-demand-charges,"address, power_kw, exact opening date","SOURCE IS AN UNPUBLISHED DRAFT as of 13 Aug 2026. Do not publish this pin until the article goes live. The $9,000/month figure is the owner's characterisation; one specific bill shown totals $13,211.",false
ev-auto-brentwood-tn,"EV Auto dealership, Brentwood",EV Auto,EV Auto,Car dealership,,Brentwood,TN,36.03306,-86.78278,Area-Only,,,,Construction,To Verify,C (reported or inferred),SfB,2026-06-22,,,"Branded Tesla Superchargers shown close to finished in a video at EV Auto's Brentwood dealership, the first of a claimed 20-plus locations in development.",https://evwire.com/p/ev-auto-tesla-superchargers-dealerships-video,"stalls, hardware, power_kw, address, opened_on",Seen in a video only. The article says it will update when the site opens.,true
bp-pulse-ontario-ca,"bp pulse electric truck depot, Ontario",bp Pulse,bp Pulse,Truck depot,,Ontario,CA,34.0631,-117.6197,Area-Only,2,Tesla MCS,750,Construction,Verified,B (strong secondary),Heavy-duty,2026-01-08,,bp Pulse's first US public electric-truck charging site,Two 750 kW Tesla MCS pull-through bays alongside four 400 kW CCS bays at bp Pulse's first US public e-truck depot.,https://evwire.com/p/bp-pulse-installs-tesla-750-kw-mcs-megachargers-at-its-first-public-e-truck-depot-in-california,"opened_on, address, whether this falls under Supercharger for Business","HEAVY-DUTY CLASS, NOT SUPERCHARGER FOR BUSINESS. This is Tesla MCS / Megacharger hardware for Class 6-8 trucks under bp's separate 2023 Tesla deal. The article never places it under the Supercharger for Business programme. Kept on the map as a separate heavy-duty layer, off by default.",true
